catalog_name,product_name,product_url,product_reviews,product_stars,price,pic_url
Grocery & Gourmet Food,"The Original Donut Shop Keurig Single-Serve K-Cup Pods, Regular Medium Roast Coffee, 72 Count",https://www.amazon.com/Original-Donut-Shop-Single-Serve-Regular/dp/B00I08JAYG/ref=zg_bs_grocery_3?_encoding=UTF8&psc=1&refRID=T5VEGADNDQPMS05QVVQQ,"5,393",4.5 out of 5 stars,$34.47,"https://images-na.ssl-images-amazon.com/images/I/71x284uOCJL._AC_UL200_SR200,200_.jpg"
Grocery & Gourmet Food,"Pepperidge Farm, Goldfish, Crackers, Classic Mix, 29 oz, Variety Pack, Box, Snack Packs, Pack Of 30",https://www.amazon.com/Pepperidge-Farm-Goldfish-Crackers-Classic/dp/B01GQ5GQEG/ref=zg_bs_grocery_4?_encoding=UTF8&psc=1&refRID=T5VEGADNDQPMS05QVVQQ,559,4.2 out of 5 stars,$9.98,"https://images-na.ssl-images-amazon.com/images/I/91KUBbGa-UL._AC_UL200_SR200,200_.jpg"
Grocery & Gourmet Food,"Essentia Ionized Alkaline 9.5 pH Bottled Water, 1 Liter, (Pack of 12)",https://www.amazon.com/Essentia-Ionized-Alkaline-Bottled-Water/dp/B005HG9ESG/ref=zg_bs_grocery_5?_encoding=UTF8&psc=1&refRID=T5VEGADNDQPMS05QVVQQ,"1,284",4.3 out of 5 stars,$19.99,"https://images-na.ssl-images-amazon.com/images/I/51qzomMWhVL._AC_UL200_SR200,200_.jpg"
Grocery & Gourmet Food,"Orgain Organic Plant Based Protein Powder, Creamy Chocolate Fudge, 2.03 Pound, Packaging…",https://www.amazon.com/Orgain-Organic-Protein-Chocolate-Packaging/dp/B00J074W94/ref=zg_bs_grocery_6?_encoding=UTF8&psc=1&refRID=T5VEGADNDQPMS05QVVQQ,"4,851",4.0 out of 5 stars,$22.20,"https://images-na.ssl-images-amazon.com/images/I/61YDecXnpBL._AC_UL200_SR200,200_.jpg"
Grocery & Gourmet Food,"RXBAR Whole Food Protein Bar, Chocolate Sea Salt, 1.83 Ounce (Pack of 12)",https://www.amazon.com/RXBAR-Whole-Protein-Chocolate-Ounce/dp/B0143NQVQ6/ref=zg_bs_grocery_7?_encoding=UTF8&psc=1&refRID=T5VEGADNDQPMS05QVVQQ,"1,159",4.1 out of 5 stars,$20.39,"https://images-na.ssl-images-amazon.com/images/I/61TWuuCF%2BmL._AC_UL200_SR200,200_.jpg"
Grocery & Gourmet Food,"KIND Bars, Dark Chocolate Nuts & Sea Salt, Gluten Free, Low Sugar, 1.4oz, 12 Count",https://www.amazon.com/KIND-Chocolate-Gluten-Sugar-1-4oz/dp/B007PE7ANY/ref=zg_bs_grocery_8?_encoding=UTF8&psc=1&refRID=T5VEGADNDQPMS05QVVQQ,"3,852",4.4 out of 5 stars,$14.19,"https://images-na.ssl-images-amazon.com/images/I/91qfuTTLL4L._AC_UL200_SR200,200_.jpg"
Grocery & Gourmet Food,"Viva Naturals Organic Extra Virgin Coconut Oil, 16 Ounce",https://www.amazon.com/Viva-Naturals-Organic-Virgin-Coconut/dp/B00DS842HS/ref=zg_bs_grocery_9?_encoding=UTF8&psc=1&refRID=T5VEGADNDQPMS05QVVQQ,"14,143",4.7 out of 5 stars,$10.79,"https://images-na.ssl-images-amazon.com/images/I/81-P135MQOL._AC_UL200_SR200,200_.jpg"
Grocery & Gourmet Food,"ChocZero's Keto Bark, Dark Chocolate Almonds with Sea Salt. 100% Stone-Ground, Sugar Free,…",https://www.amazon.com/ChocZeros-Chocolate-Stone-Ground-Artificial-Sweeteners/dp/B0799CH1ZZ/ref=zg_bs_grocery_10?_encoding=UTF8&psc=1&refRID=T5VEGADNDQPMS05QVVQQ,410,4.5 out of 5 stars,$14.99,"https://images-na.ssl-images-amazon.com/images/I/81eWMdJi3HL._AC_UL200_SR200,200_.jpg"
Grocery & Gourmet Food,"FIJI Natural Artesian Water, 16.9 Fl Oz (Pack of 24 Bottles)",https://www.amazon.com/FIJI-Natural-Artesian-Water-Bottles/dp/B004CQWWKY/ref=zg_bs_grocery_11?_encoding=UTF8&psc=1&refRID=T5VEGADNDQPMS05QVVQQ,"1,152",4.4 out of 5 stars,$23.99,"https://images-na.ssl-images-amazon.com/images/I/51NRIIZpwJL._AC_UL200_SR200,200_.jpg"
Grocery & Gourmet Food,"Honey Nut Cheerios Naturally Flavored Sweetened Whole Grain Oat Cereal, 19.5 Ounce",https://www.amazon.com/Cheerios-Naturally-Flavored-Sweetened-Cereal/dp/B07D3FFTH2/ref=zg_bs_grocery_12?_encoding=UTF8&psc=1&refRID=T5VEGADNDQPMS05QVVQQ,31,4.5 out of 5 stars,$3.50,"https://images-na.ssl-images-amazon.com/images/I/91DlHO9Y69L._AC_UL200_SR200,200_.jpg"
